ctgov,dist,loglik,aic
NCT00954447,lnorm,-1.505e+03,3.013e+03
NCT00970632,lnorm,-4.059e+02,8.158e+02
NCT00975195,lnorm,-3.866e+03,7.735e+03
NCT00996658,lnorm,-2.491e+02,5.021e+02
NCT01064687,lnorm,-9.400e+02,1.884e+03
NCT01075282,lnorm,-7.901e+02,1.584e+03
NCT01084005,lnorm,-1.787e+02,3.614e+02
NCT01087502,lnorm,-4.173e+02,8.386e+02
NCT01126437,lnorm,-3.523e+04,7.047e+04
NCT01126580,lnorm,-1.198e+03,2.401e+03
NCT01131676,lnorm,-4.144e+03,8.292e+03
NCT01159600,lnorm,-8.535e+02,1.711e+03
NCT01164501,lnorm,-8.063e+02,1.617e+03
NCT01167881,lnorm,-2.307e+03,4.619e+03
NCT01177813,lnorm,-7.755e+02,1.555e+03
NCT01191268,lnorm,-1.322e+03,2.649e+03
NCT01191944,lnorm,-2.896e+02,5.832e+02
NCT01194830,lnorm,-3.839e+02,7.718e+02
NCT01204294,lnorm,-3.449e+02,6.937e+02
NCT01210001,lnorm,-3.365e+02,6.771e+02
NCT01214239,lnorm,-2.430e+02,4.901e+02
NCT01306214,lnorm,-7.576e+02,1.519e+03
NCT01335464,lnorm,-9.433e+02,1.891e+03
NCT01335477,lnorm,-1.003e+03,2.009e+03
NCT01368081,lnorm,-8.987e+02,1.801e+03
NCT01370005,lnorm,-2.994e+02,6.027e+02
NCT01422876,lnorm,-1.679e+03,3.362e+03
NCT01558271,lnorm,-4.085e+02,8.210e+02
NCT01621178,lnorm,-7.994e+02,1.603e+03
NCT01624259,lnorm,-3.305e+02,6.651e+02
NCT01694771,lnorm,-6.245e+02,1.253e+03
NCT01708902,lnorm,-5.426e+02,1.089e+03
NCT01719003,lnorm,-1.015e+03,2.033e+03
NCT01769378,lnorm,-2.049e+02,4.138e+02
NCT02152371,lnorm,-2.309e+02,4.657e+02
NCT02172287,lnorm,-8.723e+02,1.749e+03
NCT02172586,lnorm,-3.880e+02,7.799e+02
NCT02175355,lnorm,-4.762e+02,9.564e+02
NCT02177344,lnorm,-6.042e+02,1.212e+03
NCT02177396,lnorm,-2.414e+02,4.867e+02
NCT02177461,lnorm,-7.663e+02,1.537e+03
NCT02183064,lnorm,-9.223e+02,1.849e+03
NCT02200653,lnorm,-1.458e+02,2.957e+02
NCT02240680,lnorm,-2.028e+02,4.096e+02
NCT02489968,lnorm,-2.269e+02,4.578e+02
NCT02750410,lnorm,-1.535e+02,3.110e+02
NCT00034840,weibull,-2.476e+02,4.992e+02
